iter	Passed	Remaining
421	1870	2562
422	1872	2554
423	1874	2546
424	1876	2538
425	1877	2530
426	1882	2525
427	1884	2518
428	1886	2510
429	1888	2502
430	1889	2494
431	1891	2486
432	1894	2481
433	1898	2475
434	1899	2467
435	1902	2460
436	1904	2453
437	1906	2446
438	1914	2446
439	1915	2438
440	1918	2431
441	1919	2423
442	1921	2416
443	1931	2418
444	1933	2411
445	1936	2404
446	1938	2397
447	1951	2404
448	1953	2396
449	1959	2394
450	1961	2387
451	1963	2379
452	1964	2372
453	1966	2364
454	1967	2357
455	1969	2349
456	1974	2346
457	1976	2339
458	1980	2333
459	1981	2326
460	1984	2319
461	1989	2317
462	1992	2310
463	1994	2303
464	1996	2296
465	1997	2289
466	1999	2282
467	2003	2278
468	2005	2270
469	2007	2263
470	2009	2256
471	2011	2250
472	2013	2243
473	2018	2240
474	2022	2235
475	2024	2228
476	2026	2221
477	2028	2215
478	2041	2220
479	2045	2215
480	2056	2219
481	2061	2215
482	2065	2210
483	2067	2204
484	2069	2197
485	2078	2197
486	2079	2190
487	2099	2203
488	2101	2196
489	2108	2194
490	2110	2188
491	2112	2181
492	2115	2175
493	2118	2169
494	2134	2177
495	2140	2175
496	2142	2168
497	2146	2163
498	2148	2157
499	2150	2150
500	2156	2147
501	2158	2140
502	2195	2169
503	2197	2162
504	2199	2155
505	2205	2153
506	2207	2146
507	2209	2139
508	2210	2132
509	2212	2126
510	2214	2119
511	2220	2116
512	2228	2115
513	2229	2108
514	2233	2103
515	2235	2096
516	2237	2089
517	2240	2084
518	2269	2103
519	2271	2096
520	2273	2090
521	2275	2083
522	2276	2076
523	2279	2070
524	2281	2064
525	2283	2057
526	2285	2051
527	2288	2045
528	2290	2039
529	2297	2037
530	2300	2032
531	2302	2025
532	2304	2019
533	2311	2017
534	2313	2011
535	2315	2004
536	2318	1998
537	2326	1998
538	2329	1992
539	2332	1986
540	2334	1980
541	2342	1979
542	2344	1973
543	2348	1968
544	2357	1967
545	2359	1961
546	2360	1955
547	2362	1948
548	2380	1955
549	2396	1960
550	2399	1955
551	2401	1949
552	2404	1943
553	2417	1946
554	2419	1939
555	2421	1933
556	2423	1927
557	2425	1921
558	2432	1918
559	2433	1912
560	2435	1905
561	2436	1899
562	2438	1892
563	2440	1886
564	2446	1883
565	2448	1877
566	2450	1871
567	2452	1864
568	2453	1858
569	2455	1852
570	2467	1853
571	2469	1847
572	2471	1841
573	2481	1841
574	2483	1835
575	2486	1830
576	2496	1829
577	2498	1823
578	2500	1818
579	2502	1812
580	2512	1811
581	2515	1806
582	2517	1800
583	2519	1794
584	2522	1789
585	2529	1786
586	2531	1781
587	2533	1775
588	2536	1769
589	2549	1772
590	2551	1766
591	2555	1761
592	2571	1765
593	2577	1762
594	2583	1758
595	2586	1753
596	2593	1750
597	2595	1744
598	2597	1739
599	2599	1733
600	2601	1727
601	2606	1723
602	2609	1718
603	2611	1712
604	2614	1706
605	2627	1708
606	2629	1702
607	2648	1707
608	2659	1707
609	2666	1704
610	2679	1705
611	2688	1704
612	2691	1699
613	2693	1693
614	2695	1687
615	2709	1688
616	2711	1683
617	2716	1679
618	2761	1699
619	2790	1710
620	2792	1704
621	2794	1698
622	2801	1695
623	2804	1689
624	2807	1684
625	2809	1678
626	2817	1676
627	2820	1670
628	2857	1685
629	2868	1684
630	2872	1679
631	2883	1678
632	2885	1672
633	2888	1667
634	2896	1665
635	2900	1659
636	2902	1654
637	2904	1648
638	2913	1646
639	2919	1642
640	2927	1639
641	2930	1634
642	2932	1628
643	2935	1622
644	2942	1619
645	2945	1614
646	2948	1608
647	2950	1602
648	2953	1597
649	2956	1592
650	2960	1587
651	2985	1593
652	2987	1587
653	2989	1581
654	2991	1575
655	2994	1570
656	2999	1565
657	3004	1561
658	3006	1555
659	3008	1549
660	3010	1544
661	3042	1553
662	3053	1552
663	3057	1547
664	3059	1541
665	3065	1537
666	3067	1531
667	3068	1525
668	3070	1519
669	3071	1513
670	3074	1507
671	3080	1503
672	3082	1497
673	3096	1497
674	3097	1491
675	3100	1486
676	3110	1484
677	3113	1478
678	3117	1473
679	3122	1469
680	3128	1465
681	3130	1459
682	3133	1454
683	3135	1448
684	3136	1442
685	3142	1438
686	3144	1432
687	3146	1427
688	3149	1421
689	3150	1415
690	3152	1409
691	3215	1431
692	3217	1425
693	3219	1419
694	3229	1417
695	3231	1411
696	3241	1408
697	3243	1403
698	3274	1409
699	3276	1404
700	3277	1398
701	3280	1392
702	3282	1386
703	3287	1382
704	3290	1376
705	3292	1371
706	3294	1365
707	3296	1359
708	3305	1356
709	3307	1351
710	3310	1345
711	3313	1340
712	3318	1335
713	3320	1330
714	3322	1324
715	3324	1318
716	3326	1312
717	3328	1307
718	3330	1301
719	3333	1296
720	3337	1291
721	3339	1285
722	3357	1286
723	3359	1280
724	3361	1274
725	3367	1271
726	3371	1266
727	3373	1260
728	3375	1254
729	3380	1250
730	3382	1244
731	3384	1239
732	3387	1233
733	3388	1228
734	3392	1223
735	3397	1218
736	3399	1213
737	3409	1210
738	3413	1205
739	3415	1199
740	3416	1194
741	3418	1188
742	3442	1190
743	3443	1184
744	3445	1179
745	3446	1173
746	3450	1168
747	3452	1163
748	3456	1158
749	3457	1152
750	3460	1147
751	3462	1141
752	3464	1136
753	3466	1130
754	3467	1125
755	3472	1120
756	3474	1115
757	3476	1109
758	3483	1106
759	3488	1101
760	3490	1096
761	3492	1090
762	3494	1085
763	3496	1080
764	3498	1074
765	3502	1069
766	3503	1064
767	3505	1058
768	3508	1053
769	3510	1048
770	3512	1043
771	3514	1037
772	3518	1033
773	3519	1027
774	3522	1022
775	3524	1017
776	3526	1012
777	3527	1006
778	3529	1001
779	3531	996
780	3533	990
781	3535	985
782	3537	980
783	3541	975
784	3547	971
785	3549	966
786	3550	961
787	3552	955
788	3554	950
789	3556	945
790	3558	940
791	3569	937
792	3572	932
793	3574	927
794	3578	922
795	3580	917
796	3581	912
797	3583	907
798	3587	902
799	3589	897
800	3594	893
801	3596	887
802	3598	882
803	3600	877
804	3601	872
805	3604	867
806	3616	864
807	3620	860
808	3628	856
809	3630	851
810	3632	846
811	3635	841
812	3639	837
813	3647	833
814	3650	828
815	3652	823
816	3666	821
817	3667	816
818	3672	811
819	3674	806
820	3676	801
821	3679	796
822	3690	793
823	3696	789
824	3698	784
825	3700	779
826	3704	774
827	3710	770
828	3712	765
829	3714	760
830	3720	756
831	3722	751
832	3725	746
833	3727	741
834	3729	736
835	3730	731
836	3735	727
837	3737	722
838	3738	717
839	3741	712
840	3743	707
841	3745	702
842	3747	697
843	3754	694
844	3757	689
845	3759	684
846	3763	679
847	3768	675
848	3770	670
849	3771	665
850	3773	660
851	3775	655
852	3777	650
853	3781	646
854	3783	641
855	3785	636
856	3787	631
857	3788	627
858	3790	622
859	3792	617
860	3796	612
861	3798	608
862	3801	603
863	3803	598
864	3805	593
865	3807	589
866	3812	584
867	3813	580
868	3815	575
869	3817	570
870	3819	565
871	3822	561
872	3827	556
873	3829	552
874	3836	548
875	3839	543
876	3845	539
877	3851	535
878	3855	530
879	3860	526
880	3863	521
881	3865	517
882	3867	512
883	3869	507
884	3871	503
885	3875	498
886	3876	493
887	3878	489
888	3880	484
889	3882	479
890	3884	475
891	3885	470
892	3890	466
893	3892	461
894	3897	457
895	3899	452
896	3901	447
897	3906	443
898	3910	439
899	3912	434
900	3915	430
901	3917	425
902	3923	421
903	3925	416
904	3927	412
905	3928	407
906	3930	403
907	3932	398
908	3937	394
909	3939	389
910	3941	385
911	3943	380
912	3948	376
913	3951	371
914	3955	367
915	3957	362
916	3962	358
917	3964	354
918	3968	349
919	3969	345
920	3971	340
921	3973	336
922	3978	331
923	3980	327
924	4004	324
925	4005	320
926	4010	315
927	4012	311
928	4014	306
929	4015	302
930	4021	298
931	4025	293
932	4027	289
933	4030	284
934	4035	280
935	4037	276
936	4054	272
937	4056	268
938	4059	263
939	4062	259
940	4071	255
941	4074	250
942	4075	246
943	4077	241
944	4078	237
945	4080	232
946	4089	228
947	4091	224
948	4092	219
949	4094	215
950	4096	211
951	4105	207
952	4107	202
953	4207	202
954	4209	198
955	4210	193
956	4212	189
957	4213	184
958	4217	180
959	4219	175
960	4221	171
961	4223	166
962	4224	162
963	4226	157
964	4227	153
965	4232	148
966	4234	144
967	4236	140
968	4237	135
969	4239	131
970	4240	126
971	4309	124
972	4317	119
973	4319	115
974	4322	110
975	4324	106
976	4329	101
977	4334	97
978	4336	93
979	4340	88
980	4344	84
981	4346	79
982	4348	75
983	4351	70
984	4353	66
985	4355	61
986	4360	57
987	4379	53
988	4382	48
989	4383	44
990	4386	39
991	4388	35
992	4393	30
993	4394	26
994	4396	22
995	4398	17
996	4417	13
997	4418	8
998	4420	4
999	4425	0
